ID,datum oddaje,vmesna postaja,teza
1,8/20/2018,,0.24
2,11/26/2018,,12.06
3,1/21/2018,,14.93
4,7/5/2018,,5.14
5,9/1/2018,,13.58
6,9/9/2018,,17.33
7,8/29/2018,,19.13
8,2/15/2018,,5.67
9,2/8/2018,,11.15
10,10/26/2018,,17.30
11,9/30/2018,,17.44
12,3/26/2018,,9.07
13,7/7/2018,,9.15
14,10/16/2018,,17.69
15,4/25/2018,,19.75
16,1/30/2018,,0.00
17,9/10/2018,,9.09
18,8/1/2018,,4.88
19,6/26/2018,,0.91
20,10/13/2018,,14.90
21,10/9/2018,,0.67
22,4/9/2018,,4.42
23,10/30/2018,,2.92
24,3/7/2018,,2.03
25,2/12/2018,,4.99
26,11/3/2018,,19.91
27,10/11/2018,,17.75
28,3/22/2018,,3.03
29,5/22/2018,,9.57
30,2/28/2018,,3.06
31,11/2/2018,,14.15
32,2/6/2018,,10.77
33,11/24/2018,,9.24
34,4/19/2018,,8.72
35,1/17/2018,,3.87
36,6/6/2018,,18.46
37,6/10/2018,,2.63
38,1/3/2018,,3.13
39,4/7/2018,,17.25
40,3/30/2018,,12.96
41,7/13/2018,,2.87
42,7/11/2018,,10.90
43,1/20/2018,,14.60
44,9/3/2018,,9.99
45,3/20/2018,,12.73
46,6/10/2018,,19.74
47,3/26/2018,,12.09
48,8/14/2018,,3.13
49,6/3/2018,,16.74
50,5/15/2018,,18.85
51,2/13/2018,,7.57
52,11/10/2018,,18.88
53,10/19/2018,,16.00
54,4/15/2018,,9.53
55,4/3/2018,,16.86
56,10/5/2018,,19.98
57,7/22/2018,,16.33
58,5/4/2018,,10.20
59,6/10/2018,,1.43
60,9/3/2018,,9.25
61,6/1/2018,,4.06
62,11/17/2018,,17.82
63,10/27/2018,,4.09
64,4/29/2018,,14.91
65,6/14/2018,,2.48
66,10/8/2018,,13.08
67,4/24/2018,,12.52
68,7/12/2018,,0.88
69,9/7/2018,,12.75
70,8/10/2018,,8.31
71,4/8/2018,,9.23
72,4/22/2018,,9.79
73,10/30/2018,,7.55
74,10/14/2018,,14.20
75,3/13/2018,,3.13
76,2/8/2018,,16.14
77,8/16/2018,,4.97
78,4/27/2018,,2.37
79,8/8/2018,,4.47
80,5/19/2018,,18.67
81,3/6/2018,,9.20
82,9/11/2018,,7.92
83,10/1/2018,,10.61
84,8/23/2018,,1.60
85,11/18/2018,,9.42
86,5/22/2018,,12.62
87,2/10/2018,,14.12
88,11/16/2018,,12.19
89,9/5/2018,,18.20
90,1/12/2018,,8.81
91,3/3/2018,,10.36
92,5/26/2018,,16.61
93,11/19/2018,,14.38
94,5/21/2018,,16.97
95,7/10/2018,,0.12
96,2/11/2018,,2.52
97,7/3/2018,,16.85
98,9/21/2018,,2.54
99,3/5/2018,,16.73
100,8/30/2018,,8.22
101,4/1/2018,,19.94
102,2/10/2018,,19.74
103,3/12/2018,,0.19
104,4/9/2018,,2.53
105,4/15/2018,,2.77
106,2/16/2018,,11.68
107,2/19/2018,,2.02
108,3/28/2018,,18.25
109,10/8/2018,,6.10
110,1/22/2018,,20.00
111,11/3/2018,,7.02
112,3/7/2018,,1.54
113,7/4/2018,,6.42
114,11/29/2018,,18.63
115,6/3/2018,,17.85
116,8/4/2018,,16.77
117,1/5/2018,,17.67
118,3/16/2018,,12.75
119,10/31/2018,,3.73
120,11/4/2018,,1.43
121,5/6/2018,,11.13
122,1/8/2018,,2.56
123,2/5/2018,,11.30
124,3/21/2018,,10.97
125,5/29/2018,,14.69
126,4/23/2018,,2.14
127,4/14/2018,,15.74
128,1/12/2018,,10.70
129,5/2/2018,,2.37
130,2/17/2018,,14.54
131,4/29/2018,,1.51
132,10/25/2018,,2.52
133,3/27/2018,,17.06
134,3/6/2018,,8.21
135,2/7/2018,,15.67
136,11/13/2018,,18.53
137,7/3/2018,,19.30
138,5/1/2018,,17.18
139,5/29/2018,,3.14
140,1/9/2018,,18.89
141,1/15/2018,,5.19
142,3/13/2018,,0.88
143,8/7/2018,,14.30
144,9/26/2018,,17.17
145,1/22/2018,,9.65
146,9/3/2018,,4.37
147,10/11/2018,,17.15
148,2/12/2018,,9.28
149,6/16/2018,,3.89
150,7/16/2018,,12.48
151,6/6/2018,,13.44
152,10/4/2018,,7.04
153,6/6/2018,,3.82
154,7/16/2018,,13.69
155,2/5/2018,,18.49
156,8/3/2018,,15.81
157,10/25/2018,,17.34
158,7/21/2018,,0.59
159,8/19/2018,,14.29
160,2/19/2018,,6.43
161,1/19/2018,,12.81
162,11/23/2018,,5.46
163,6/4/2018,,16.46
164,3/28/2018,,9.50
165,11/6/2018,,4.73
166,6/1/2018,,1.24
167,2/14/2018,,10.92
168,9/10/2018,,8.26
169,10/12/2018,,6.71
170,3/17/2018,,5.90
171,11/15/2018,,18.95
172,1/23/2018,,17.43
173,10/19/2018,,0.18
174,4/26/2018,,18.06
175,7/3/2018,,14.84
176,1/25/2018,,13.33
177,1/15/2018,,0.91
178,11/2/2018,,0.68
179,8/5/2018,,7.44
180,7/24/2018,,11.39
181,11/14/2018,,2.45
182,4/3/2018,,4.40
183,9/27/2018,,13.26
184,9/17/2018,,0.77
185,8/1/2018,,1.31
186,1/21/2018,,5.67
187,2/2/2018,,9.84
188,8/26/2018,,3.23
189,8/11/2018,,0.77
190,10/23/2018,,17.06
191,5/20/2018,,13.03
192,4/15/2018,,5.27
193,8/31/2018,,12.14
194,1/30/2018,,1.84
195,8/3/2018,,1.63
196,4/25/2018,,8.93
197,9/2/2018,,10.37
198,4/29/2018,,5.11
199,6/3/2018,,19.05
200,3/6/2018,,0.64
201,10/16/2018,,15.24
202,8/31/2018,,18.56
203,11/4/2018,,9.49
204,10/26/2018,,17.88
205,7/28/2018,,5.81
206,5/24/2018,,15.52
207,8/3/2018,,13.04
208,7/17/2018,,5.54
209,9/4/2018,,7.78
210,10/18/2018,,12.61
211,3/1/2018,,19.48
212,6/25/2018,,17.36
213,8/18/2018,,9.79
214,7/18/2018,,15.60
215,8/7/2018,,14.99
216,5/13/2018,,10.45
217,1/31/2018,,18.93
218,10/31/2018,,6.19
219,3/15/2018,,5.46
220,9/6/2018,,1.54
221,5/16/2018,,8.07
222,10/27/2018,,12.59
223,8/16/2018,,12.82
224,9/16/2018,,0.57
225,8/9/2018,,8.89
226,11/25/2018,,8.66
227,4/14/2018,,18.83
228,6/28/2018,,12.48
229,3/12/2018,,11.20
230,6/2/2018,,19.34
231,7/3/2018,,2.91
232,9/14/2018,,12.36
233,4/7/2018,,7.95
234,1/29/2018,,15.64
235,10/16/2018,,2.89
236,6/1/2018,,4.02
237,9/16/2018,,19.54
238,2/6/2018,,7.56
239,3/28/2018,,19.06
240,11/6/2018,,18.79
241,9/5/2018,,2.38
242,1/29/2018,,9.60
243,11/22/2018,,18.19
244,6/10/2018,,7.93
245,9/2/2018,,5.71
246,11/6/2018,,16.83
247,7/4/2018,,11.27
248,9/13/2018,,5.48
249,2/11/2018,,18.71
250,10/1/2018,,15.96
251,2/7/2018,,0.12
252,9/7/2018,,6.33
253,8/28/2018,,16.04
254,3/18/2018,,1.22
255,2/19/2018,,7.71
256,1/21/2018,,13.72
257,6/3/2018,,16.50
258,10/8/2018,,3.24
259,2/5/2018,,16.59
260,1/26/2018,,18.99
261,8/21/2018,,1.84
262,6/6/2018,,4.17
263,9/1/2018,,19.09
264,6/16/2018,,0.25
265,5/20/2018,,8.36
266,11/14/2018,,17.21
267,1/25/2018,,15.99
268,3/17/2018,,0.20
269,3/24/2018,,2.04
270,2/23/2018,,10.74
271,3/9/2018,,18.39
272,5/31/2018,,6.05
273,2/21/2018,,19.83
274,5/9/2018,,0.76
275,1/5/2018,,3.38
276,8/3/2018,,13.58
277,3/18/2018,,13.61
278,5/27/2018,,10.49
279,11/1/2018,,16.23
