ID,Datum oddaje,teza
1,6/26/2018,15.99
2,2/22/2019,15.73
3,9/23/2018,5.25
4,11/12/2018,9.68
5,12/3/2018,2.10
6,4/19/2018,18.34
7,2/17/2018,11.37
8,8/9/2018,8.87
9,7/30/2018,10.79
10,10/16/2018,17.75
11,12/1/2018,18.33
12,8/7/2017,19.71
13,9/23/2018,18.34
14,7/12/2017,9.00
15,12/19/2017,17.91
16,6/30/2017,3.75
17,7/2/2018,4.34
18,5/29/2018,19.70
19,4/29/2018,19.40
20,9/24/2017,11.09
21,3/11/2018,12.65
22,5/26/2017,5.17
23,9/4/2017,16.57
24,2/28/2019,7.99
25,1/17/2019,12.75
26,3/31/2018,17.92
27,8/18/2017,1.11
28,6/22/2017,15.15
29,9/1/2017,18.37
30,10/23/2017,12.51
31,11/26/2017,2.51
32,4/24/2019,2.77
33,12/15/2017,3.45
34,2/20/2018,3.70
35,9/19/2017,17.68
36,5/9/2019,3.38
37,3/15/2019,18.74
38,10/22/2017,9.48
39,11/29/2017,16.68
40,9/26/2017,14.45
41,9/14/2018,6.20
42,1/3/2018,17.04
43,9/23/2018,0.35
44,2/4/2019,11.43
45,10/1/2018,11.17
46,1/12/2019,8.80
47,7/17/2018,9.94
48,11/12/2017,16.57
49,9/28/2018,12.37
50,10/27/2017,11.84
51,8/25/2017,17.43
52,8/21/2018,0.06
53,2/20/2019,2.02
54,1/13/2019,2.00
55,9/12/2017,1.15
56,11/8/2017,10.95
57,5/27/2017,6.45
58,11/8/2018,6.42
59,5/18/2018,18.84
60,9/1/2017,18.27
61,9/2/2018,19.15
62,9/20/2018,5.95
63,2/7/2018,15.61
64,3/10/2018,10.16
65,4/29/2019,9.87
66,5/21/2018,10.73
67,10/9/2017,5.07
68,10/21/2018,3.25
69,4/6/2018,10.70
70,4/29/2019,14.27
71,10/13/2017,8.19
72,9/28/2018,0.71
73,7/18/2017,13.96
74,5/19/2018,2.58
75,5/12/2019,8.25
76,9/24/2018,4.15
77,12/12/2017,10.21
78,8/14/2017,15.56
79,11/24/2018,11.96
80,11/18/2018,16.75
81,8/22/2018,19.94
82,2/8/2018,18.77
83,12/22/2018,11.33
84,10/28/2018,16.67
85,8/11/2018,10.73
86,8/20/2017,16.43
87,9/4/2018,16.93
88,1/7/2019,5.56
89,11/21/2018,9.03
90,1/19/2019,5.41
91,3/22/2018,13.86
92,11/7/2018,13.34
93,6/18/2018,3.84
94,2/9/2019,12.06
95,12/29/2018,11.21
96,8/24/2017,9.83
97,8/12/2018,2.91
98,2/18/2018,3.68
99,6/2/2017,0.51
100,8/13/2017,3.22
101,11/30/2017,12.90
102,2/15/2018,7.37
103,6/4/2018,11.64
104,12/3/2017,19.72
105,11/30/2018,5.03
106,4/23/2018,13.39
107,7/30/2017,4.99
108,2/8/2018,18.10
109,2/8/2019,19.97
110,3/29/2019,4.97
111,9/13/2017,15.00
112,11/17/2018,5.17
113,12/25/2017,11.15
114,11/4/2017,11.52
115,8/27/2017,3.32
116,9/4/2018,14.29
117,7/28/2017,6.51
118,1/25/2019,8.60
119,4/9/2019,17.51
120,11/5/2017,2.96
121,8/8/2018,12.26
122,4/29/2019,3.48
123,6/7/2017,15.99
124,6/29/2017,14.53
125,6/13/2018,2.21
126,5/7/2019,17.22
127,11/14/2017,14.48
128,4/16/2019,11.11
129,9/3/2017,6.73
130,8/18/2018,7.54
131,8/3/2017,14.47
132,6/19/2018,19.88
133,5/5/2019,16.49
134,7/21/2017,10.13
135,4/30/2018,10.05
136,1/5/2019,1.46
137,9/29/2018,15.70
138,11/14/2017,6.46
139,6/29/2017,12.17
140,6/16/2017,19.08
141,6/30/2017,6.47
142,2/3/2018,3.31
143,5/28/2017,15.53
144,7/30/2017,2.77
145,6/28/2017,8.03
146,10/12/2018,18.43
147,2/8/2018,10.83
148,10/4/2018,18.53
149,10/16/2018,11.34
150,11/25/2018,15.43
151,8/4/2018,10.16
152,11/14/2018,8.36
153,2/2/2019,5.31
154,9/23/2017,12.19
155,11/30/2018,12.80
156,11/10/2017,19.50
157,11/10/2018,18.28
158,1/1/2018,7.03
159,10/31/2017,7.39
160,3/28/2018,19.03
161,10/17/2018,15.64
162,10/1/2018,15.31
163,5/1/2019,0.97
164,3/2/2018,19.36
165,4/25/2019,16.68
166,8/30/2017,14.41
167,12/6/2017,4.76
168,4/7/2018,18.64
169,4/21/2019,10.10
170,3/22/2019,8.43
171,10/29/2017,9.91
172,1/6/2018,8.12
173,7/17/2017,19.38
174,1/26/2019,6.11
175,3/31/2018,7.44
176,2/16/2019,18.82
177,4/26/2019,4.23
178,8/19/2018,6.27
179,4/7/2018,16.00
180,5/3/2019,9.72
181,7/9/2018,2.81
182,9/16/2018,7.44
183,11/9/2017,2.38
184,1/21/2019,9.80
185,8/28/2017,9.48
186,11/14/2018,0.79
187,3/22/2019,9.68
188,4/25/2019,18.55
189,11/27/2018,16.16
190,11/30/2017,8.42
191,5/1/2019,1.10
192,2/15/2018,6.09
193,7/3/2018,2.85
194,8/5/2018,13.72
195,9/22/2017,3.53
196,1/4/2019,9.25
197,6/5/2018,9.10
198,1/19/2018,2.46
199,1/1/2018,17.16
200,8/23/2018,12.03
201,9/8/2018,12.88
202,5/2/2018,5.96
203,1/14/2018,18.38
204,11/28/2017,11.66
205,8/25/2017,15.78
206,11/10/2018,8.02
207,3/27/2018,14.95
208,6/23/2018,15.38
209,2/10/2018,3.68
210,8/7/2017,11.94
211,2/1/2018,17.15
212,4/11/2018,5.29
213,10/14/2018,8.88
214,3/19/2018,1.82
215,6/6/2017,7.77
216,9/6/2017,4.72
217,6/14/2018,19.95
218,1/2/2018,8.47
219,4/14/2018,11.86
220,6/14/2017,2.24
221,10/29/2017,12.85
222,10/4/2017,8.02
223,6/2/2017,16.50
224,9/1/2017,7.23
225,6/14/2018,14.01
226,12/16/2018,17.37
227,4/29/2018,5.46
228,5/19/2017,19.26
229,9/6/2017,9.54
230,6/27/2017,15.45
231,6/8/2017,14.50
232,10/12/2018,9.81
233,5/28/2018,9.43
234,6/7/2018,1.62
235,8/16/2018,11.10
236,8/12/2017,15.33
237,10/10/2017,10.57
238,12/19/2018,18.14
239,11/19/2017,14.44
240,11/25/2017,16.36
241,6/2/2017,4.25
242,6/27/2018,10.92
243,10/15/2017,15.27
244,5/30/2017,10.24
245,12/13/2018,5.33
246,4/28/2018,3.59
247,10/28/2018,0.93
248,8/8/2018,12.39
249,8/28/2018,12.79
250,3/18/2019,11.92
251,10/28/2018,9.97
252,11/3/2017,18.34
253,9/21/2018,14.23
254,4/5/2018,3.63
255,8/14/2018,18.51
256,9/24/2017,12.28
257,10/19/2017,3.27
258,11/21/2017,18.96
259,11/13/2018,3.18
260,11/9/2017,11.60
261,6/17/2017,0.79
262,5/24/2018,6.31
263,3/22/2018,17.75
264,3/6/2019,3.54
265,7/3/2018,8.04
266,10/30/2018,15.83
267,2/18/2019,17.92
268,3/31/2019,15.54
269,4/1/2019,3.32
270,8/12/2018,1.04
271,1/14/2019,0.18
272,4/29/2018,10.25
273,2/6/2018,0.18
274,4/8/2018,14.61
275,1/13/2018,11.71
276,9/12/2018,2.00
277,2/16/2018,3.55
278,10/14/2018,8.23
279,3/22/2019,8.13
280,1/1/2019,13.11
281,11/13/2017,15.50
282,9/24/2018,13.09
283,11/2/2017,14.21
284,12/31/2017,11.03
285,9/21/2018,10.70
286,2/5/2019,13.20
287,3/21/2019,15.43
288,3/1/2018,15.88
289,2/5/2018,12.80
290,8/16/2018,9.09
291,2/21/2019,10.24
292,12/23/2018,15.14
293,4/17/2018,6.08
294,9/4/2017,1.41
295,5/9/2019,4.14
296,1/24/2019,18.55
297,4/16/2019,2.37
298,6/13/2017,9.11
299,11/6/2018,9.73
300,9/22/2017,3.61
301,3/27/2018,14.44
302,6/5/2017,1.06
303,7/26/2017,14.29
304,6/12/2017,15.65
305,3/12/2019,9.77
306,2/23/2018,4.83
307,10/9/2017,10.68
308,5/31/2018,3.94
309,9/9/2017,0.74
310,9/17/2017,16.16
311,7/17/2018,2.21
312,4/24/2019,6.38
313,10/27/2017,3.53
314,10/2/2017,4.85
315,1/15/2018,4.47
316,12/1/2017,6.90
317,2/8/2018,3.46
318,8/15/2018,13.92
319,2/15/2019,6.06
320,12/16/2018,9.63
321,1/28/2018,9.67
322,2/6/2019,8.49
323,4/12/2018,6.82
324,7/9/2018,9.81
325,3/27/2019,2.69
326,5/2/2018,18.59
327,4/7/2019,3.34
328,9/12/2017,11.40
329,6/3/2018,17.22
330,12/12/2018,18.23
331,1/8/2018,9.50
332,12/15/2017,19.52
333,2/24/2019,15.57
334,1/3/2019,18.23
335,1/19/2018,13.50
336,4/13/2018,5.79
337,8/16/2017,15.58
338,2/20/2018,14.93
339,9/5/2017,17.04
340,7/7/2018,14.62
341,5/11/2018,10.74
342,9/6/2018,7.69
343,8/31/2017,11.37
344,1/8/2018,16.39
345,2/9/2019,2.91
346,1/7/2018,19.45
347,11/21/2017,3.53
348,11/25/2017,8.57
349,3/28/2019,13.23
350,4/27/2018,13.61
351,3/14/2018,19.24
352,1/26/2018,16.71
353,12/26/2017,16.96
354,5/13/2018,18.64
355,7/31/2017,6.59
356,4/25/2019,15.36
357,4/24/2018,11.08
358,11/13/2017,15.51
359,3/6/2019,8.73
360,9/3/2017,13.74
361,11/19/2018,13.51
362,5/27/2018,2.32
363,6/20/2017,10.63
364,5/7/2019,4.48
365,5/19/2017,6.11
366,4/5/2018,18.36
367,7/16/2017,11.94
368,8/17/2017,9.61
369,3/6/2018,8.65
370,1/4/2018,14.24
371,8/24/2018,10.10
372,4/25/2018,6.00
373,6/11/2017,16.29
374,11/28/2018,1.54
375,4/18/2019,17.12
376,1/28/2018,10.55
377,3/1/2018,16.61
378,9/25/2018,5.60
379,11/12/2017,15.01
380,12/14/2017,6.38
381,5/18/2018,12.75
382,11/9/2017,1.01
383,3/1/2019,11.64
384,7/13/2017,19.02
385,10/7/2017,1.14
386,7/6/2018,2.53
387,7/31/2018,18.57
388,12/3/2017,16.60
389,7/17/2017,18.51
390,5/3/2018,13.00
391,4/17/2019,5.71
392,5/9/2018,14.71
393,1/15/2019,14.58
394,12/5/2017,13.11
395,2/7/2018,10.61
396,10/20/2017,15.42
397,4/14/2019,8.96
398,6/26/2018,10.57
399,7/24/2018,14.34
400,10/14/2017,16.07
401,11/26/2017,3.13
402,4/12/2018,7.64
403,5/14/2018,12.99
404,3/11/2019,8.38
405,1/25/2019,12.99
406,8/8/2018,15.96
407,8/15/2018,12.48
408,4/26/2019,4.48
409,5/20/2018,11.52
410,1/26/2018,11.72
411,11/6/2017,17.92
412,2/9/2018,4.52
413,5/15/2018,18.32
414,7/29/2018,8.24
415,2/3/2019,13.39
416,3/17/2019,16.09
417,7/1/2017,15.76
418,5/31/2017,6.77
419,1/24/2019,7.88
420,5/18/2018,15.09
421,7/9/2017,19.54
422,5/23/2017,3.55
423,7/29/2017,8.79
424,7/22/2017,18.56
425,3/3/2019,5.02
426,5/6/2019,15.15
427,4/7/2019,12.61
428,12/7/2018,12.62
429,3/23/2019,1.51
430,8/11/2018,3.77
431,10/25/2017,12.30
432,4/10/2019,10.46
433,8/11/2017,6.65
434,8/22/2018,14.24
435,8/6/2018,10.81
436,4/1/2018,7.24
437,9/15/2017,19.67
438,9/25/2018,4.61
439,2/8/2019,12.22
440,10/22/2017,7.94
441,5/28/2018,7.83
442,10/6/2018,14.49
443,5/16/2019,0.60
444,10/17/2018,4.77
445,8/15/2017,13.87
446,7/18/2018,2.14
447,11/2/2017,5.99
448,5/30/2018,1.63
449,11/30/2017,9.70
450,5/1/2018,0.00
451,12/12/2018,16.74
452,6/11/2017,13.48
453,2/1/2019,13.77
454,10/27/2018,5.36
455,2/24/2018,4.78
456,5/24/2018,18.11
457,4/20/2018,3.78
458,11/8/2018,4.48
459,12/30/2017,18.08
460,10/9/2018,16.30
461,12/8/2017,6.10
462,4/8/2019,0.37
463,8/31/2017,13.82
464,10/7/2018,8.23
465,7/30/2017,0.54
466,10/31/2017,0.88
467,10/24/2018,1.09
468,2/20/2018,14.54
469,12/27/2017,9.46
470,4/28/2019,0.66
471,5/8/2018,1.72
472,3/10/2019,16.06
473,9/23/2018,11.42
474,11/12/2017,2.87
475,2/3/2019,7.72
476,6/21/2017,1.57
477,5/27/2017,8.90
478,9/6/2017,7.34
479,8/29/2017,11.23
480,11/4/2018,14.89
481,2/23/2019,16.92
482,4/15/2018,4.78
483,4/5/2018,18.74
484,5/27/2018,17.62
485,5/31/2017,14.67
486,11/4/2017,7.50
487,4/8/2018,3.19
488,12/20/2017,19.62
489,1/26/2019,13.47
490,8/3/2017,12.22
491,8/16/2018,10.42
492,9/9/2018,11.43
493,9/19/2017,3.47
494,8/14/2017,10.04
495,10/2/2017,19.99
496,4/24/2018,16.09
497,11/11/2018,5.62
498,6/8/2017,8.61
499,3/7/2018,14.56
500,7/8/2018,3.88
501,12/22/2017,8.97
502,7/15/2018,17.27
503,7/18/2018,13.56
504,3/12/2019,4.47
505,12/16/2018,15.87
506,6/19/2018,15.27
507,11/18/2017,9.61
508,1/24/2018,19.68
509,11/17/2018,10.05
510,10/3/2018,16.52
511,7/14/2017,8.52
512,6/6/2018,15.22
513,5/23/2017,3.83
514,12/26/2018,10.23
515,7/21/2018,6.99
516,5/25/2018,1.19
517,7/1/2018,8.40
518,3/20/2018,19.75
519,3/6/2018,2.95
520,8/5/2018,16.87
521,10/4/2018,0.43
522,7/26/2018,0.22
523,1/16/2019,15.34
524,4/22/2018,5.21
525,2/9/2018,8.22
526,4/15/2018,9.57
527,8/22/2017,9.01
528,7/9/2017,1.44
529,5/18/2018,7.29
530,12/10/2017,17.45
531,9/27/2017,0.29
532,7/17/2017,7.64
533,9/8/2017,0.35
534,8/29/2017,3.33
535,9/5/2017,16.85
536,6/2/2017,3.55
537,5/5/2018,6.39
538,11/10/2017,4.23
539,11/1/2017,18.94
540,4/27/2019,6.96
541,3/4/2019,17.30
542,2/22/2018,1.40
543,3/14/2018,11.56
544,7/30/2018,12.14
545,11/18/2017,15.79
546,1/3/2019,17.10
547,6/10/2018,0.82
548,12/6/2017,15.56
549,1/2/2018,11.58
550,9/8/2017,2.04
551,8/29/2017,13.81
552,8/1/2017,11.68
553,12/15/2018,17.90
554,6/6/2018,0.87
555,5/1/2019,16.14
556,5/12/2018,5.98
557,9/6/2017,1.36
558,7/27/2017,7.43
559,2/26/2019,3.04
560,5/24/2017,3.05
561,8/18/2017,0.75
562,3/5/2019,16.77
563,2/13/2019,9.22
564,6/18/2018,16.65
565,12/9/2017,14.74
566,3/16/2019,13.71
567,11/17/2018,4.33
568,6/29/2018,16.47
569,7/12/2017,5.35
570,12/30/2018,0.25
571,8/27/2017,16.47
572,2/3/2019,18.73
573,5/1/2018,13.65
574,12/23/2017,13.38
575,10/3/2018,3.80
576,9/6/2017,8.07
577,5/7/2019,4.94
578,3/23/2018,7.30
579,11/8/2018,13.86
580,12/26/2017,8.73
581,2/12/2018,2.13
582,5/16/2019,18.27
583,12/7/2017,14.85
584,4/27/2019,16.28
585,8/7/2018,3.44
586,7/7/2018,10.95
587,10/24/2017,6.38
588,12/6/2018,12.23
589,3/11/2019,19.08
590,6/1/2017,12.86
591,5/15/2019,19.91
592,12/14/2017,15.54
593,9/4/2017,0.63
594,1/8/2018,19.89
595,9/5/2017,12.94
596,5/5/2018,5.20
597,7/17/2018,13.00
598,1/5/2018,10.29
599,6/24/2017,2.95
600,11/6/2017,18.05
601,2/8/2019,10.02
602,5/30/2017,14.33
603,3/9/2018,11.06
604,2/18/2018,16.94
605,3/8/2018,12.19
606,6/19/2017,3.24
607,5/15/2019,14.19
608,2/24/2019,8.85
609,2/23/2019,10.52
610,8/29/2018,11.87
611,2/12/2018,15.08
612,6/28/2018,12.24
613,9/29/2018,17.63
614,5/11/2019,14.00
615,9/29/2018,10.07
616,10/10/2018,2.29
617,5/7/2018,13.19
618,11/30/2018,8.65
619,1/27/2019,1.38
620,9/6/2018,10.84
621,4/2/2019,2.70
622,4/30/2018,14.19
623,10/2/2017,0.64
624,6/4/2017,7.11
625,12/31/2018,17.55
626,6/25/2018,18.34
627,5/12/2018,15.24
628,2/23/2019,14.95
629,1/26/2019,13.11
630,1/2/2018,4.34
631,1/15/2019,16.96
632,6/24/2017,10.27
633,10/11/2018,12.93
634,3/23/2018,10.23
635,5/15/2019,5.49
636,3/26/2018,8.70
637,3/17/2019,0.13
638,11/28/2018,8.94
639,5/5/2018,3.46
640,12/16/2017,4.39
641,2/19/2019,15.64
642,10/31/2018,7.94
643,12/24/2017,3.89
644,8/31/2017,10.26
645,9/3/2018,6.53
646,9/4/2017,17.00
647,1/10/2019,11.30
648,8/21/2018,13.47
649,11/10/2018,18.50
650,1/25/2018,1.32
651,3/15/2019,15.56
652,5/9/2018,1.08
653,5/23/2017,10.99
654,8/12/2018,6.93
655,11/25/2018,18.11
656,5/29/2018,10.90
657,5/14/2018,8.63
658,8/12/2018,13.26
659,1/21/2018,8.31
660,7/3/2018,0.30
661,9/30/2018,4.32
662,7/8/2017,4.67
663,10/29/2017,12.32
664,9/6/2018,12.30
665,2/25/2019,19.88
666,7/27/2018,8.87
667,4/30/2018,12.21
668,7/29/2017,5.90
669,5/2/2019,4.94
670,4/21/2018,17.19
671,4/26/2019,13.63
672,1/24/2019,13.76
673,6/3/2018,10.53
674,4/8/2019,14.57
675,1/31/2019,0.34
676,3/30/2019,19.25
677,11/24/2018,14.51
678,12/10/2018,9.53
679,4/25/2018,18.52
680,3/30/2018,8.06
681,11/5/2017,10.04
682,11/14/2018,17.69
683,8/7/2017,13.21
684,12/24/2018,8.17
685,12/11/2018,3.46
686,8/14/2018,9.75
687,12/1/2018,10.56
688,1/12/2019,6.68
689,2/27/2019,1.84
690,3/13/2019,0.01
691,1/12/2018,12.98
692,12/23/2017,9.67
693,10/22/2017,0.17
694,10/7/2017,12.99
695,7/25/2018,8.12
696,10/22/2017,8.27
697,1/12/2019,11.55
698,4/8/2019,4.01
699,11/30/2018,7.08
700,12/17/2018,12.40
701,9/29/2017,13.28
702,9/22/2018,15.45
703,6/6/2018,1.59
704,12/4/2017,15.13
705,12/20/2018,3.10
706,8/15/2018,16.82
707,11/12/2017,10.98
708,1/20/2018,16.18
709,10/23/2018,9.25
710,3/14/2018,16.81
711,4/28/2018,3.67
712,5/26/2018,8.75
713,11/5/2017,9.82
714,7/11/2018,3.07
715,2/19/2019,16.42
716,2/8/2019,19.76
717,4/5/2019,7.56
718,12/10/2018,16.63
719,2/25/2018,12.90
720,12/24/2018,13.61
721,6/23/2017,13.36
722,11/10/2017,1.69
723,6/6/2017,16.02
724,2/13/2018,5.44
725,5/6/2018,14.12
726,10/8/2017,16.54
727,8/1/2017,4.13
728,11/20/2018,2.91
729,1/21/2018,11.28
730,2/11/2019,9.95
731,2/25/2019,18.10
732,8/10/2018,7.04
733,6/9/2018,4.02
734,8/10/2017,5.40
735,8/18/2017,6.78
736,5/25/2017,9.60
737,10/2/2017,12.27
738,6/25/2017,0.57
739,7/30/2017,18.26
740,1/14/2018,12.26
741,10/26/2018,0.27
742,11/10/2018,8.24
743,8/28/2018,10.95
744,3/9/2018,13.05
745,4/30/2019,4.13
746,11/9/2017,9.81
747,11/10/2018,4.03
748,5/19/2017,17.01
749,9/3/2018,2.45
750,8/14/2018,2.51
751,7/18/2017,6.78
752,2/1/2019,12.53
753,9/1/2018,16.17
754,10/15/2017,7.23
755,12/25/2017,10.59
756,9/24/2018,12.52
757,11/17/2017,14.35
758,8/6/2018,15.46
759,5/10/2018,5.70
760,2/23/2019,2.51
761,12/9/2017,2.35
762,9/5/2018,7.25
763,5/16/2019,11.55
764,2/5/2019,8.49
765,5/10/2018,18.74
766,10/28/2017,15.79
767,1/20/2018,12.92
768,3/26/2018,19.13
769,5/28/2017,13.14
770,4/7/2018,6.40
771,1/31/2018,4.65
772,1/14/2019,18.77
773,1/20/2019,12.40
774,1/24/2019,3.30
775,3/8/2018,4.54
776,1/2/2018,13.18
777,5/3/2019,0.62
778,12/9/2018,18.85
779,12/7/2018,13.68
780,8/27/2018,17.74
781,8/22/2018,11.12
782,12/12/2017,3.48
783,7/10/2018,1.04
784,8/18/2018,10.93
785,3/4/2019,13.18
786,2/14/2019,7.47
787,5/24/2018,5.38
788,10/2/2018,10.83
789,7/2/2017,0.06
790,9/15/2017,18.35
791,5/12/2019,6.82
792,11/14/2017,12.11
793,5/16/2018,9.90
794,12/27/2018,14.18
795,12/2/2018,18.91
796,3/29/2018,11.80
797,6/11/2018,18.02
798,1/27/2018,15.94
799,5/27/2018,7.18
800,8/22/2018,4.69
801,5/9/2018,14.32
802,6/25/2017,13.78
803,8/4/2018,19.83
804,1/11/2018,13.95
805,4/2/2019,11.87
806,7/2/2017,16.84
807,4/14/2018,4.46
808,3/24/2018,10.88
809,2/9/2018,6.74
810,1/21/2019,12.42
811,2/20/2018,13.80
812,12/9/2017,4.18
813,8/19/2018,19.89
814,9/6/2018,10.63
815,8/19/2017,15.72
816,3/21/2018,3.07
817,11/2/2018,18.53
818,9/26/2017,5.56
819,6/3/2018,19.89
820,9/4/2018,10.54
821,12/1/2017,11.40
822,6/25/2017,13.19
823,1/7/2019,17.12
824,4/1/2019,4.31
825,8/7/2018,2.84
826,3/14/2018,4.39
827,12/20/2017,10.44
828,3/29/2019,14.82
829,6/28/2017,3.95
830,9/22/2018,7.66
831,6/8/2018,14.03
832,3/27/2019,18.67
833,12/10/2017,0.86
834,5/31/2018,3.72
835,3/1/2018,17.94
836,8/3/2017,15.69
837,11/6/2018,19.42
838,3/11/2019,5.52
839,2/25/2019,8.67
840,4/28/2018,7.87
841,7/13/2018,6.56
842,1/18/2019,13.90
843,10/23/2017,3.57
844,11/13/2017,8.60
845,9/27/2018,14.29
846,7/2/2017,3.37
847,5/11/2019,18.16
848,8/31/2018,4.65
849,4/25/2019,14.77
850,11/26/2017,5.66
851,7/26/2018,6.94
852,9/2/2017,15.22
853,12/22/2017,5.91
854,6/9/2017,3.00
855,4/29/2019,10.54
856,10/4/2017,6.26
857,11/27/2018,4.77
858,7/16/2017,15.41
859,7/18/2017,15.98
860,10/2/2017,12.31
861,3/30/2019,2.62
862,7/13/2018,13.23
863,10/5/2018,4.56
864,7/19/2017,17.70
865,10/1/2017,8.05
866,12/14/2018,14.05
867,1/29/2019,10.07
868,3/3/2018,11.40
869,2/17/2019,6.74
870,7/12/2017,16.22
871,11/13/2017,12.31
872,12/19/2018,16.19
873,7/1/2017,3.24
874,6/30/2018,15.93
875,5/30/2017,16.36
876,12/4/2018,1.61
877,12/28/2018,6.80
878,10/15/2018,17.53
879,2/28/2018,13.78
880,2/28/2019,19.76
881,11/8/2017,5.22
882,5/5/2019,7.77
883,10/24/2017,5.96
884,12/14/2017,6.91
885,10/24/2017,7.79
886,5/14/2018,11.23
887,1/25/2019,17.07
888,12/27/2018,16.94
889,6/16/2017,0.78
890,11/15/2018,2.54
891,11/20/2017,4.88
892,12/26/2017,13.90
893,3/19/2018,14.65
894,1/27/2018,7.02
895,12/11/2018,10.90
896,4/11/2018,3.31
897,9/19/2018,1.86
898,12/28/2018,14.18
899,4/18/2018,13.27
900,8/23/2018,3.91
901,4/14/2018,1.88
902,8/25/2018,5.87
903,11/10/2017,4.85
904,1/27/2018,4.71
905,4/1/2019,7.94
906,9/1/2017,4.46
907,3/10/2018,9.32
908,5/9/2018,17.03
909,5/14/2018,0.47
910,12/27/2017,5.74
911,11/30/2018,17.99
912,9/2/2017,12.65
913,2/11/2018,15.79
914,9/26/2017,9.79
915,4/2/2019,4.03
916,7/16/2017,0.82
917,12/6/2017,18.16
918,8/7/2018,18.48
919,11/29/2017,11.46
920,1/5/2018,16.03
921,11/1/2018,4.99
922,2/13/2018,0.02
923,10/21/2017,9.32
924,1/31/2019,19.17
925,7/12/2018,8.34
926,9/19/2018,16.05
927,8/16/2018,19.32
928,4/12/2019,7.93
929,7/3/2018,8.24
930,8/22/2017,16.75
931,3/11/2019,14.98
932,7/30/2017,12.25
933,2/23/2018,16.09
934,8/30/2017,5.38
935,8/13/2017,8.86
936,8/21/2017,0.44
937,8/13/2017,6.71
938,8/5/2017,8.50
939,9/6/2018,4.68
940,8/19/2018,1.87
941,2/12/2018,14.38
942,2/4/2019,9.07
943,3/21/2019,0.54
944,4/21/2019,0.87
945,11/11/2018,11.29
946,8/31/2017,13.91
947,4/17/2018,2.25
948,8/23/2018,18.12
949,2/8/2019,17.92
950,5/3/2018,4.41
951,1/16/2018,0.17
952,2/18/2018,19.90
953,6/5/2018,9.53
954,12/14/2018,17.35
955,7/11/2018,16.42
956,6/6/2018,13.96
957,8/15/2018,13.28
958,10/14/2018,4.93
959,2/17/2019,11.53
960,5/24/2017,0.62
961,10/31/2018,7.87
962,4/27/2019,10.43
963,6/12/2017,4.89
964,7/17/2017,17.48
965,8/27/2018,11.29
966,9/19/2018,3.07
967,5/6/2018,16.31
968,10/9/2018,16.72
969,5/28/2018,4.25
970,4/21/2018,7.70
971,2/24/2018,8.18
972,2/26/2018,12.52
973,12/18/2017,16.09
974,9/9/2018,17.70
975,7/20/2017,8.98
976,1/29/2018,0.27
977,5/9/2019,19.67
978,6/15/2017,2.52
979,1/13/2018,13.07
980,2/1/2019,17.14
981,6/20/2017,11.47
982,9/25/2017,17.07
983,10/12/2018,14.32
984,3/30/2018,9.79
985,7/16/2018,0.39
986,7/19/2018,11.36
987,3/30/2019,10.71
988,1/18/2019,18.65
989,11/12/2018,3.46
990,5/14/2019,2.87
991,4/29/2019,1.49
992,9/22/2017,4.40
993,1/27/2018,15.78
994,6/5/2017,10.36
995,5/15/2018,5.17
996,11/6/2017,16.59
997,1/30/2018,3.47
998,11/5/2017,0.55
999,6/29/2018,18.87
1000,6/30/2017,15.84
1001,1/12/2018,14.25
1002,10/5/2017,1.24
1003,9/14/2017,12.74
1004,3/26/2019,17.69
1005,6/11/2018,0.69
1006,10/1/2017,18.42
1007,11/26/2017,6.78
1008,11/7/2018,3.17
1009,12/9/2018,1.79
1010,9/3/2018,14.84
1011,9/26/2017,2.73
1012,5/17/2018,1.62
1013,10/13/2018,17.64
1014,10/23/2017,11.33
