ID,teza,datum_oddaje,vmesna_postaja
1,15.77,8/12/2018,
2,4.11,10/21/2018,
3,16.37,4/18/2018,
4,1.81,4/22/2018,
5,19.98,1/21/2018,
6,15.93,10/4/2018,
7,6.45,6/25/2018,
8,0.54,11/13/2018,
9,6.13,4/26/2018,
10,11.68,4/30/2018,
11,3.36,1/21/2018,
12,5.02,3/17/2018,
13,13.23,8/15/2018,
14,9.54,4/2/2018,
15,10.19,6/10/2018,
16,15.10,4/17/2018,
17,10.02,11/3/2018,
18,9.16,8/9/2018,
19,13.82,7/18/2018,
20,7.82,10/10/2018,
21,4.78,9/30/2018,
22,0.80,7/8/2018,
23,19.26,5/1/2018,
24,5.53,4/12/2018,
25,17.31,5/4/2018,
26,18.38,6/30/2018,
27,17.70,9/15/2018,
28,13.75,7/15/2018,
29,4.76,11/4/2018,
30,2.98,11/14/2018,
31,0.30,3/29/2018,
32,10.47,3/26/2018,
33,11.97,7/2/2018,
34,16.34,9/18/2018,
35,18.44,6/13/2018,
36,9.44,9/22/2018,
37,16.93,9/15/2018,
38,4.27,1/9/2018,
39,8.90,5/7/2018,
40,5.11,9/24/2018,
41,7.95,2/6/2018,
42,8.90,8/14/2018,
43,6.08,5/2/2018,
44,15.20,6/30/2018,
45,12.57,9/28/2018,
46,17.35,2/12/2018,
47,19.00,9/13/2018,
48,4.54,6/17/2018,
49,3.58,5/27/2018,
50,0.80,9/13/2018,
51,9.18,6/16/2018,
52,10.08,8/31/2018,
53,9.03,10/28/2018,
54,19.93,11/30/2018,
55,14.31,7/30/2018,
56,5.29,5/21/2018,
57,10.75,7/8/2018,
58,16.87,9/26/2018,
59,14.46,6/8/2018,
60,18.23,2/20/2018,
61,8.01,10/16/2018,
62,5.63,9/22/2018,
63,1.51,9/8/2018,
64,0.98,3/8/2018,
65,1.15,7/16/2018,
66,19.82,11/29/2018,
67,12.65,9/29/2018,
68,17.92,5/23/2018,
69,17.43,9/20/2018,
70,9.48,3/4/2018,
71,17.48,8/31/2018,
72,11.18,6/13/2018,
73,6.69,6/6/2018,
74,6.18,2/4/2018,
75,4.98,2/22/2018,
76,19.52,7/5/2018,
77,15.12,2/7/2018,
78,14.32,7/6/2018,
79,6.75,5/22/2018,
80,16.50,7/18/2018,
81,1.36,9/8/2018,
