;Po?tna ;;
;?tevilka;Naziv po?te ;Veliki uporabniki
1;2;3;4
A;8341;Adle?i?i;
;5270;Ajdov??ina;
;6280;Ankaran - Ancarano;
;9253;Apa?e;
;8253;Arti?e;
B;4275;Begunje na Gorenjskem;
;1382;Begunje pri Cerknici;
;9231;Beltinci;
;2234;Benedikt;
;2345;Bistrica ob Dravi;
;3256;Bistrica ob Sotli;
;8259;Bizeljsko;
;1223;Blagovica;
;8283;Blanca;
;4260;Bled;
;4273;Blejska Dobrava;
;9265;Bodonci;
;9222;Bogojina;
;4263;Bohinjska Bela;
;4264;Bohinjska Bistrica;
;4265;Bohinjsko jezero;
;1353;Borovnica;
;8294;Bo?tanj;
;5230;Bovec;
;5295;Branik;
;3314;Braslov?e;
;5223;Breginj;
;8280;Brestanica;
;2354;Bresternica;
;4243;Brezje;
;1351;Brezovica pri Ljubljani;
;8250;Bre?ice;
;4210;Brnik - aerodrom;
;8321;Brusnice;
;3255;Bu?e;
;8276;Bu?ka ;
C;9261;Cankova;
;3000;Celje - dostava;
;3001;Celje - po?tni predali;
;3502;Celje;Kovinotehna
;3505;Celje;Merkur
;3600;Celje;Po?ta Slovenije - PE Celje
;4207;Cerklje na Gorenjskem;
;8263;Cerklje ob Krki;
;1380;Cerknica;
;5282;Cerkno;
;2236;Cerkvenjak;
;2215;Cer?ak;
;2326;Cirkovce;
;2282;Cirkulane;
;5273;Col;
?;8251;?ate? ob Savi;
;1413;?em?enik;
;5253;?epovan;
;9232;?ren?ovci;
;2393;?rna na Koro?kem;
;6275;?rni Kal;
;5274;?rni Vrh nad Idrijo;
;5262;?rni?e;
;8340;?rnomelj;
D;6271;Dekani;
;5210;Deskle;
;2253;Destrnik;
;6215;Diva?a;
;1233;Dob;
;3224;Dobje pri Planini;
;8257;Dobova;
;1423;Dobovec;
;5263;Dobravlje;
;3204;Dobrna;
;8211;Dobrni?;
;1356;Dobrova;
;9223;Dobrovnik - Dobronak ;
;5212;Dobrovo v Brdih;
;1431;Dol pri Hrastniku;
;1262;Dol pri Ljubljani;
;1273;Dole pri Litiji;
;1331;Dolenja vas;
;8350;Dolenjske Toplice;
;1230;Dom?ale;
;2252;Dornava;
;5294;Dornberk;
;1319;Draga;
;8343;Dragatu?;
;3222;Dramlje;
;2370;Dravograd;
;4203;Duplje;
;6221;Dutovlje;
;8361;Dvor;
F;2343;Fala;
;9208;Fokovci;
;2313;Fram;
;3213;Frankolovo;
G;1274;Gabrovka;
;8254;Globoko;
;5275;Godovi?;
;4204;Golnik;
;3303;Gomilsko;
;4224;Gorenja vas;
;3263;Gorica pri Slivnici;
;2272;Gori?nica;
;9250;Gornja Radgona;
;3342;Gornji Grad;
;4282;Gozd Martuljek;
;6272;Gra?i??e;
;9264;Grad;
;8332;Gradac;
;1384;Grahovo;
;5242;Grahovo ob Ba?i;
;5251;Grgar;
;3302;Gri?e;
;3231;Grobelno;
;1290;Grosuplje;
H;2288;Hajdina;
;8362;Hinje;
;2311;Ho?e;
;9205;Hodo? - Hodos;
;1354;Horjul;
;1372;Hotedr?ica;
;1430;Hrastnik;
;6225;Hru?evje;
;4276;Hru?ica;
I;5280;Idrija;
;1292;Ig;
;6250;Ilirska Bistrica;
;1295;Ivan?na Gorica;
;2259;Ivanjkovci;
;1411;Izlake;
;6310;Izola - Isola;
J;2222;Jakobski Dol;
;2221;Jarenina;
;6254;Jel?ane;
;4270;Jesenice;
;8261;Jesenice na Dolenjskem;
;3273;Jurklo?ter;
;2223;Jurovski Dol;
;2256;Jur?inci;
K;5214;Kal nad Kanalom;
;3233;Kalobje;
;4246;Kamna Gorica;
;2351;Kamnica;
;1241;Kamnik;
;5213;Kanal;
;8258;Kapele;
;2362;Kapla;
;2325;Kidri?evo;
;1412;Kisovec;
;6253;Kne?ak;
;5222;Kobarid;
;9227;Kobilje;
;1330;Ko?evje;
;1338;Ko?evska Reka;
;2276;Kog;
;5211;Kojsko;
;6223;Komen;
;1218;Komenda;
;6000;Koper - Capodistria - dostava;
;6001;Koper - Capodistria - po?tni predali;
;6503;Koper;Adriatic, zavarovalna dru?ba
;6502;Koper;Banka Koper
;6505;Koper;Emona, Obala
;6504;Koper;Interevropa
;6501;Koper;Luka
;6600;Koper;Po?ta Slovenije - PE Koper
;8282;Koprivnica;
;5296;Kostanjevica na Krasu;
;8311;Kostanjevica na Krki;
;6256;Ko?ana;
;2394;Kotlje;
;6240;Kozina;
;3260;Kozje;
;4000;Kranj - dostava;
;4001;Kranj - po?tni predali;
;4600;Kranj;Po?ta Slovenije - PE Kranj
;4502;Kranj;Sava
;4280;Kranjska Gora;
;1281;Kresnice;
;4294;Kri?e;
;9206;Kri?evci;
;9242;Kri?evci pri Ljutomeru;
;1301;Krka;
;8296;Krmelj;
;4245;Kropa;
;8262;Kr?ka vas;
;8270;Kr?ko;
;9263;Kuzma;
L;2318;Laporje;
;3270;La?ko;
;1219;Laze v Tuhinju;
;2230;Lenart v Slovenskih goricah;
;9220;Lendava - Lendva;
;4248;Lesce;
;3261;Lesi?no;
;8273;Leskovec pri Kr?kem;
;2372;Libeli?e;
;2341;Limbu?;
;1270;Litija;
;3202;Ljube?na;
;1000;Ljubljana - dostava;
;1001;Ljubljana - po?tni predali;
;1517;Ljubljana;A banka
;1505;Ljubljana;Banka Slovenije
;1533;Ljubljana;BTC, blagovno trgovski center
;1512;Ljubljana;Cankarjeva zalo?ba 
;1524;Ljubljana;Carinarnica Ljubljana
;1523;Ljubljana;Carinska uprava Republike Slovenije 
;1522;Ljubljana;CHEMO
;1510;Ljubljana;?P Dnevnik 
;1509;Ljubljana;?ZP Delo 
;1538;Ljubljana;DZS 
;1516;Ljubljana;Elektro Ljubljana
;1528;Ljubljana;Emona 
;1540;Ljubljana;EPPS - Elektronsko pismo Po?te Slovenije
;1504;Ljubljana;Gospodarska zbornica Slovenije
;1521;Ljubljana;Iskra invest
;1545;Ljubljana;Kanal A
;1542;Ljubljana;KDD - Centralna klirin?ko depotna dru?ba
;1525;Ljubljana;Klini?ni center
;1544;Ljubljana;Kolinska
;1514;Ljubljana;Kompas
;1526;Ljubljana;LEK
;1502;Ljubljana;Ministrstvo za finance
;1508;Ljubljana;Ministrstvo za informacijsko dru?bo
;1501;Ljubljana;Ministrstvo za notranje zadeve
;1535;Ljubljana;Ministrstvo za promet 
;1536;Ljubljana;Mladinska knjiga, Zalo?ba
;1537;Ljubljana;Mobitel
;1520;Ljubljana;Nova ljubljanska banka
;1534;Ljubljana;Okrajno sodi??e
;1503;Ljubljana;Okro?no sodi??e
;1527;Ljubljana;Petrol
;1603;Ljubljana;Po?ta Slov.-Centralno skladi??e po?t. materiala
;1500;Ljubljana;Po?ta Slovenije
;1600;Ljubljana;Po?ta Slovenije - PE Ljubljana
;1550;Ljubljana;RTV Slovenija
;1532;Ljubljana;Salamonov oglasnik
;1513;Ljubljana;SKB banka
;1511;Ljubljana;Slovenijales
;1506;Ljubljana;Slovenske ?eleznice
;1519;Ljubljana;SPL Ljubljana
;1543;Ljubljana;?portna loterija
;1546;Ljubljana;Telekom Slovenije 
;1547;Ljubljana;Telekom Slovenije - PE Ljubljana
;1518;Ljubljana;ZPIZ, Zavod za pokoj. in inval. zav. Slov.
;1507;Ljubljana;ZZZS, Zavod za zdrav. zav. Slov.
;1529;Ljubljana;?ito
;1231;Ljubljana - ?rnu?e;
;1261;Ljubljana - Dobrunje;
;1260;Ljubljana - Polje;
;1210;Ljubljana - ?entvid;
;1211;Ljubljana - ?martno;
;3333;Ljubno ob Savinji;
;9240;Ljutomer;
;3215;Lo?e;
;5231;Log pod Mangartom;
;1370;Logatec;
;1434;Loka pri Zidanem Mostu;
;3223;Loka pri ?usmu;
;6219;Lokev;
;1318;Lo?ki Potok;
;2324;Lovrenc na Dravskem polju;
;2344;Lovrenc na Pohorju;
;3334;Lu?e;
;1225;Lukovica;
M;9202;Ma?kovci;
;2322;Maj?perk;
;2321;Makole;
;9243;Mala Nedelja;
;2229;Male?nik;
;6273;Marezige;
;2000;Maribor - dostava;
;2001;Maribor - po?tni predali;
;2504;Maribor;?ZP Ve?er
;2502;Maribor;DURS, Dav?ni urad Maribor
;2509;Maribor;Elektro Maribor
;2506;Maribor;Henkel Slovenija
;2508;Maribor;Jeklotehna Trgovina
;2505;Maribor;Nova kreditna banka
;2503;Maribor;Okrajno in okro?no sodi??e
;2500;Maribor;Po?ta Slovenije
;2600;Maribor;Po?ta Slovenije - PE Maribor
;2603;Maribor;Po?ta Slov.-Centralno skladi??e po?t. materiala
;2501;Maribor;Upravna enota RS
;2507;Maribor;Zavarovalnica Maribor
;2206;Marjeta na Dravskem polju;
;2281;Markovci;
;9221;Martjanci;
;6242;Materija;
;4211;Mav?i?e;
;1215;Medvode;
;1234;Menge?;
;8330;Metlika;
;2392;Me?ica;
;2204;Miklav? na Dravskem polju;
;2275;Miklav? pri Ormo?u;
;5291;Miren;
;8233;Mirna;
;8216;Mirna Pe?;
;2382;Mislinja;
;4281;Mojstrana;
;8230;Mokronog;
;1251;Morav?e;
;9226;Moravske Toplice;
;5216;Most na So?i;
;1221;Motnik;
;3330;Mozirje;
;9000;Murska Sobota - dostava;
;9001;Murska Sobota - po?tni predali;
;9501;Murska Sobota;Mura
;9600;Murska Sobota;Po?ta Slovenije - PE Murska Sobota
;2366;Muta;
N;4202;Naklo;
;4501;Naklo;Merkur 
;3331;Nazarje;
;1357;Notranje Gorice;
;3203;Nova Cerkev;
;5000;Nova Gorica - dostava;
;5001;Nova Gorica - po?tni predali;
;5600;Nova Gorica;Po?ta Slovenije - PE Nova Gorica
;1385;Nova vas;
;8000;Novo mesto - dostava;
;8001;Novo mesto - po?tni predali;
;8501;Novo mesto;Krka
;8600;Novo mesto;Po?ta Slovenije - PE Novo mesto
O;6243;Obrov;
;9233;Odranci;
;2317;Oplotnica;
;2312;Orehova vas;
;2270;Ormo?;
;1316;Ortnek;
;1337;Osilnica;
;8222;Oto?ec;
;2361;O?balt;
P;2231;Pernica;
;2211;Pesnica pri Mariboru;
;9203;Petrovci;
;3301;Petrov?e;
;6330;Piran - Pirano;
;8255;Pi?ece;
;6257;Pivka;
;6232;Planina;
;3225;Planina pri Sevnici;
;6276;Pobegi;
;8312;Podbo?je;
;5243;Podbrdo;
;3254;Pod?etrtek;
;2273;Podgorci;
;6216;Podgorje;
;2381;Podgorje pri Slovenj Gradcu;
;6244;Podgrad;
;1414;Podkum;
;2286;Podlehnik;
;5272;Podnanos;
;4244;Podnart;
;3241;Podplat;
;3257;Podsreda;
;2363;Podvelka;
;2208;Pohorje;
;2257;Polen?ak;
;1355;Polhov Gradec;
;4223;Poljane nad ?kofjo Loko;
;2319;Polj?ane;
;1272;Pol?nik;
;3313;Polzela;
;3232;Ponikva;
;6320;Portoro? - Portorose;
;6230;Postojna;
;2331;Pragersko;
;3312;Prebold;
;4205;Preddvor;
;6255;Prem;
;1352;Preserje;
;6258;Prestranek;
;2391;Prevalje;
;3262;Prevorje;
;1276;Primskovo ;
;3253;Pristava pri Mestinju;
;9207;Prosenjakovci - Partosfalva;
;5297;Prva?ina;
;2250;Ptuj;
;2323;Ptujska Gora;
;9201;Puconci;
R;2327;Ra?e;
;1433;Rade?e;
;9252;Radenci;
;9502;Radenci;Zdravili??e
;2360;Radlje ob Dravi;
;1235;Radomlje;
;4240;Radovljica;
;8274;Raka;
;1381;Rakek;
;4283;Rate?e - Planica;
;2390;Ravne na Koro?kem;
;3332;Re?ica ob Savinji;
;5292;Ren?e;
;1310;Ribnica;
;2364;Ribnica na Pohorju;
;3272;Rimske Toplice;
;1314;Rob;
;5215;Ro?inj;
;3250;Roga?ka Slatina;
;9262;Roga?ovci;
;3252;Rogatec;
;1373;Rovte;
;2342;Ru?e;
S;1282;Sava;
;6333;Se?ovlje - Sicciole;
;4227;Selca;
;2352;Selnica ob Dravi;
;8333;Semi?;
;8281;Senovo;
;6224;Seno?e?e;
;8290;Sevnica;
;6210;Se?ana;
;2214;Sladki Vrh;
;5283;Slap ob Idrijci;
;2380;Slovenj Gradec;
;2310;Slovenska Bistrica;
;3210;Slovenske Konjice;
;1216;Smlednik;
;5232;So?a;
;1317;Sodra?ica;
;3335;Sol?ava;
;5250;Solkan;
;4229;Sorica;
;4225;Sovodenj;
;5281;Spodnja Idrija;
;2241;Spodnji Duplek;
;9245;Spodnji Ivanjci;
;2277;Sredi??e ob Dravi;
;4267;Srednja vas v Bohinju;
;8256;Sromlje ;
;5224;Srpenica;
;1242;Stahovica;
;1332;Stara Cerkev;
;8342;Stari trg ob Kolpi;
;1386;Stari trg pri Lo?u;
;2205;Star?e;
;2289;Stoperce;
;8322;Stopi?e;
;3206;Stranice;
;8351;Stra?a;
;1313;Struge;
;6323;Strunjan - Strugnano (sezonska po?ta);
;8293;Studenec;
;8331;Suhor;
;2233;Sv. Ana v Slovenskih goricah;
;2353;Sv. Duh na Ostrem Vrhu;
;9244;Sv. Jurij ob ??avnici;
;2235;Sv. Trojica v Slovenskih goricah;
;3264;Sveti ?tefan;
;2258;Sveti Toma?;
?;9204;?alovci;
;5261;?empas;
;5290;?empeter pri Gorici;
;3311;?empeter v Savinjski dolini;
;4208;?en?ur;
;2212;?entilj v Slovenskih goricah;
;8297;?entjan?;
;2373;?entjan? pri Dravogradu;
;8310;?entjernej;
;3230;?entjur;
;3271;?entrupert;
;8232;?entrupert;
;1296;?entvid pri Sti?ni;
;8275;?kocjan;
;6281;?kofije;
;4220;?kofja Loka;
;3211;?kofja vas;
;1291;?kofljica;
;6274;?marje;
;1293;?marje - Sap;
;3240;?marje pri Jel?ah;
;8220;?marje?ke Toplice;
;2315;?martno na Pohorju;
;3341;?martno ob Dreti;
;3327;?martno ob Paki;
;1275;?martno pri Litiji;
;2383;?martno pri Slovenj Gradcu;
;3201;?martno v Ro?ni dolini;
;3325;?o?tanj;
;6222;?tanjel;
;3220;?tore;
T;3304;Tabor;
;3221;Teharje;
;9251;Ti?ina;
;5220;Tolmin;
;3326;Topol?ica;
;2371;Trbonje;
;1420;Trbovlje;
;8231;Trebelno ;
;8210;Trebnje;
